IdEvaluacionPartido;IdPartido;IdCT;IdEvaluador;FechaEvaluacion;IdJugador;Condicion;IdPosicion;Nota;Comentario;;;;;;;;;;;;;;;;;
14;20;1;1;7/8/2023;277;Suplente ingresa;14;3;EntrO con personalidad y movilidad, aunque fue impreciso en algunas entregas;;;;;;;;;;;;;;;;;
15;20;1;1;7/8/2023;321;Suplente ingresa;13;2.5;Tuvo un par de desmarques interesantes, pero estuvo medi desconectado en las segundas jugadas;;;;;;;;;;;;;;;;;
16;20;1;3;8/8/2023;299;Titular;1;1;Muy flojo partido, pudiendo hacer bastante mas en algunos de los goles;;;;;;;;;;;;;;;;;
17;20;1;3;8/8/2023;303;Titular;5;2;Partido de regular para malo, realizO algunas coberturas, pero se cansO. Tampoco fue claro con la pelota;;;;;;;;;;;;;;;;;
18;20;1;3;8/8/2023;304;Titular;2;1;Desde el inicio se le vio descoentrado nervioso. Tuvo errores graves con y sin pelota;;;;;;;;;;;;;;;;;
19;20;1;3;8/8/2023;307;Titular;13;2;Mucho impetu, sacO un buen centro atrAs desaprovechado por Israel, pero estuvo mucho en el suelo alegando. AdemAs, el primer gol sale de un tiro libro que no debiO lanzar el en mitad de cancha;;;;;;;;;;;;;;;;;
20;20;1;3;8/8/2023;309;Titular;9;3;El que mas generO peligro, sobre todo cuando cambiO a la derecha, marcando un descuento. Tiene que ser mas constante en esas aproximaciones;;;;;;;;;;;;;;;;;
21;20;1;3;8/8/2023;280;Titular;4;2;Bajo nivel para lo que venIa mostrando. A tener en consideraciOn, estaba disminuido por una facitis plantar;;;;;;;;;;;;;;;;;
22;20;1;3;8/8/2023;312;Titular;13;1;AguantO y se llevO a Gonzalez un par de veces, pero tira todo por la borda con una tonta expulsiOn;;;;;;;;;;;;;;;;;
23;20;1;3;8/8/2023;313;Titular;3;2;Ambos centrales se vieron muy mal el segundo tiempo. cada vez que nos llegaron fueron peligrosos.;;;;;;;;;;;;;;;;;
24;20;1;3;8/8/2023;316;Titular;5;3;El que mas intentO jugar.  Tiene mucha claridad, aunque la cancha no lo ayudO mucho, ya que la pelota saltaba.;;;;;;;;;;;;;;;;;
25;20;1;3;8/8/2023;318;Titular;3;2;Ambos centrales se vieron muy mal el segundo tiempo. cada vez que nos llegaron fueron peligrosos.;;;;;;;;;;;;;;;;;
26;20;1;3;8/8/2023;320;Titular;8;2;Primer tiempo por derecha regular, aunque desperdiciO una gran ocasiOn. Segundo tiempo por izquierda, totalmente incomodo y sin saber que hacer;;;;;;;;;;;;;;;;;
27;20;1;3;8/8/2023;305;Suplente ingresa;9;2;Lo poco que entrO, no mostrO nada de sus caracteristicas;;;;;;;;;;;;;;;;;
28;20;1;3;8/8/2023;311;Suplente ingresa;4;2;Primer partido en la U, metiO un pase bueno a Palacios, pero cerrO muy mal en un gol;;;;;;;;;;;;;;;;;
29;20;1;3;8/8/2023;277;Suplente ingresa;14;3;IntentO rebelarse contra la situaciOn, encarO, le hicieron el penal a el y tuvo valentIa de tomar la pelota y hacer el gol;;;;;;;;;;;;;;;;;
30;20;1;3;8/8/2023;321;Suplente ingresa;13;2;No gravitO y perdiO los duelos que tuvo;;;;;;;;;;;;;;;;;
31;20;1;2;9/8/2023;299;Titular;1;1;No tuvo intervenciones importantes. Pudo salir a cortar algunos pases largos y no lo hizo. Pudo hacer mAs en algunos goles;;;;;;;;;;;;;;;;;
32;20;1;2;9/8/2023;303;Titular;5;2;No se ubicO bien en todo el partido. RetrocediO mucho y se ponIa junto a los centrales.;;;;;;;;;;;;;;;;;
33;20;1;2;9/8/2023;304;Titular;2;1;ErrAtico con balOn y muy displicente en la defensa de centros. Gran responsabilidad en 3 goles.;;;;;;;;;;;;;;;;;
34;20;1;2;9/8/2023;307;Titular;13;2;ErrO muchos controles en el partido y por un mal cambio de frente suyo sale el primer gol en contra. Le salva que a partir de el nos generamos la ocasiOon de gol mAs clara.;;;;;;;;;;;;;;;;;
35;20;1;2;9/8/2023;309;Titular;9;2;Mal partido en ataque y en defensa. Se paraba siempre cerrado cuando era El quien tenIa que darnos amplitud por la izquierda. A pesar de eso conviertiO un gol y una ocasiOn clara.;;;;;;;;;;;;;;;;;
36;20;1;2;9/8/2023;280;Titular;4;1.5;PasO muy poco al ataque y tuvo errores graves en los dos primeros goles.;;;;;;;;;;;;;;;;;
37;20;1;2;9/8/2023;312;Titular;13;1;Partido complicado para los delanteros, se generO una ocasiiOn corriendo al espacio pero definiO mal. Lo expulsan por insultar al arquero;;;;;;;;;;;;;;;;;
38;20;1;2;9/8/2023;313;Titular;3;2.5;Buen partido en defensa, juego aEreo y bien con balOn. ErrO defensivamente en el último gol pero ya estaba todo jugado.;;;;;;;;;;;;;;;;;
39;20;1;2;9/8/2023;316;Titular;5;1.5;No estuvi preciso con balOn y tuvo pocas acciones de juego. AdemAs no pudo ser determinante en el partido.;;;;;;;;;;;;;;;;;
40;20;1;2;9/8/2023;318;Titular;3;1;Errores gravIsimos en los goles. No marca dentro del Area y deja a los delanteros cabecear solos, se mete debajo de arco al lado del portero.;;;;;;;;;;;;;;;;;
41;20;1;2;9/8/2023;320;Titular;8;2.5;A pesar de no hacer un gran partido estuvo fuerte en los duelos defensivos y llegO al Area rival a terminar jugadas. Tuvo una ocasiOn clara de gol.;;;;;;;;;;;;;;;;;
42;20;1;2;9/8/2023;305;Suplente ingresa;9;1.5;EntrO y fue muy poco determinante. Lo vi ofuscado y frustrado, no fue capaz de sobreponerse al mal partido del equipo.;;;;;;;;;;;;;;;;;
43;20;1;2;9/8/2023;311;Suplente ingresa;4;2;Tuvo pocas acciones pero correctas, no hay mucho que comentar;;;;;;;;;;;;;;;;;
44;20;1;2;9/8/2023;277;Suplente ingresa;14;2.5;Tuvo muy pocos minutos pero fue valiente y generO un penal a favor y lo convirtiO el mismo. No se enganchO en discuciones con el arquero apesar de que lo encarO luego de convertir.;;;;;;;;;;;;;;;;;
45;20;1;2;9/8/2023;321;Suplente ingresa;13;2;Tuvo muy pocas acciones en el tiempo que jugO ademAs de que ya tenIamos un hombre menos. GenerO una acciOnn corriendo al espacio y le diO profundidad al equipo.;;;;;;;;;;;;;;;;;
46;21;1;1;14/8/2023;299;Titular;1;3;En general intervenciones aceptables, no le llegaron demasiado y resolviO bien cuando pudo. En el gol de penal que recibe, fue al mismo lado pero no logrO sacar el balOn, iba bien lanzado.;;;;;;;;;;;;;;;;;
47;21;1;1;14/8/2023;303;Titular;5;3;CortO varias contras rivales y permitiO al equipo mantenerse atacando. Con balOn, mejorO respecto a otros partidos dandole mAs fluidez y velocidad al juego.;;;;;;;;;;;;;;;;;
48;21;1;1;14/8/2023;304;Titular;6;2.5;No gravitO, las veces que pasO no generO mayor peligro y defensivamente tampoco fue requerido. Tuvo una gran ocasiOn en el primer tiempo que desviO.;;;;;;;;;;;;;;;;;
49;21;1;1;14/8/2023;307;Titular;13;3.5;Mucha actitud, se desmarcO constantemente el primer tiempo, buscando diagonales a las espaldas de los centrales que generaron las mejores ocasiones nuestras. Tuvo un par de remates buenos.;;;;;;;;;;;;;;;;;
50;21;1;1;14/8/2023;305;Titular;10;2.5;No participO mucho del juego, desmarques poco intensos y no logrO desequilibrar.;;;;;;;;;;;;;;;;;
51;21;1;1;14/8/2023;309;Titular;13;4;El primer tiempo logrO encarar y ganar por banda derecha, aunque faltO finalizar mejor las jugadas. En el segundo tiempo, tuvo harta movilidad y logrO el gol del empate, a mi juicio, por suerte. Buenos lanzamientos de esquina.;;;;;;;;;;;;;;;;;
52;21;1;1;14/8/2023;311;Titular;7;3.5;CumpliO luego de haber etado mucho tiempo sin jugar de titular, fIsicamente le dio para el ida y vuelta constante. En el segundo tiempo se atreviO a encarar un poco mAs. Sale reemplazado agotado.;;;;;;;;;;;;;;;;;
53;21;1;1;14/8/2023;313;Titular;3;2.5;En el primer tiempo, perdiO casi todos los duelos aEreos con TobIas, quedando en varios de ellos fuera de jugada. Con balOn, se apuraba y terminaba lanzando innecesariamente;;;;;;;;;;;;;;;;;
54;21;1;1;14/8/2023;316;Titular;14;4.5;Se posicionaba bien entre lineas y cuando era presionado, encontraba siempre lineas de pases para filtrar y mantener la posesiOn. Muy buen partido de El. Mucho desplazamiento y siempre era opciOn de pase.;;;;;;;;;;;;;;;;;
55;21;1;1;14/8/2023;317;Titular;3;2.5;No tuvo mucho trabajo, pero resolviO bien cada balOn aEreo en defensa. Lamentablemente, comete el penal al final del primer tiempo.;;;;;;;;;;;;;;;;;
56;21;1;1;14/8/2023;318;Titular;3;3;Partido muy tranquilo para El, muy inteligente en los duelos aEreos con TobIas y con balOn criterioso, sin perder muchas posesiones.;;;;;;;;;;;;;;;;;
57;21;1;1;14/8/2023;300;Suplente ingresa;4;2;EntrO a perfil cambiado, lo que le costO en los controles. TomO algunas malas decisiones.;;;;;;;;;;;;;;;;;
58;21;1;1;14/8/2023;314;Suplente ingresa;13;2.5;LogrO desequilibrar un par de veces por banda cuando encarO, pero tambiEn arriesgo mucho de espaldas y tomO algunas malas decisiones, como el destino de los centros cuando desequilibraba.;;;;;;;;;;;;;;;;;
59;21;1;1;14/8/2023;277;Suplente ingresa;14;3;Mucha movilidad, se posicionaba alto entrelineas para girar y encarar. A veces, abusa de darle muchos toques al balOn y falta darle mAs velocidad al juego.;;;;;;;;;;;;;;;;;
60;21;1;1;14/8/2023;321;Suplente ingresa;13;;EntrO muy pocos minutos para ser evaluado;;;;;;;;;;;;;;;;;
61;21;1;3;16/8/2023;299;Titular;1;2;Sigue muy bajo de confianza. En el gol, al ser penal, no tuvo mucho que hacer, pero casi abren la cuenta antes con un centro bombeado que no sale a cortar.;;;;;;;;;;;;;;;;;
62;21;1;3;16/8/2023;303;Titular;5;3;Buen segundo tiempo. Viene subiendo el nivel, aunque aun no alcanza su mejor versiOn. Tiene aun que decidir mas rapido.;;;;;;;;;;;;;;;;;
63;21;1;3;16/8/2023;304;Titular;6;2.5;Mejor partido que vs Ohiggins, pero aun insuficiente para lo que el puede dar.;;;;;;;;;;;;;;;;;
64;21;1;3;16/8/2023;307;Titular;13;3;Lo intentO por todos lados, tuvo un muy buen remate. Otro que al aprecer iba para dentro y Lucas la toca en offisde. Le falta aun ponerse a punto desde lo fIsico.;;;;;;;;;;;;;;;;;
65;21;1;3;16/8/2023;305;Titular;10;2;Muy bajo partido para lo que Lucas puede dar. No logrO ser desiquilibrante ni entrar en contacto con la pelota, al no mostrar buenas lineas de pase;;;;;;;;;;;;;;;;;
66;21;1;3;16/8/2023;309;Titular;13;4.5;Cada vez que la agarra, pareciera que va a pasar algo distinto. Es muy desiquilibrante por su velocidad y remate. Casi todos sus corners fueron muy peligrosos. Salva un empate con un centro que se metiO al arco, que ayudO mucho la potencia del tiro.;;;;;;;;;;;;;;;;;
67;21;1;3;16/8/2023;311;Titular;7;3;Buen partido, despuEs de mucho tiempo sin empezar uno de titular. TomO decisioness sensatas y ejecutO bien. TerminO contracturado. Debe ponerse en forma rApdio.;;;;;;;;;;;;;;;;;
68;21;1;3;16/8/2023;313;Titular;3;3;Correcto partido, donde cumpliO su labor sin sobresaltos;;;;;;;;;;;;;;;;;
69;21;1;3;16/8/2023;316;Titular;14;4;MostrO todo su talento con controles dirigidos casi imposibles en esa cancha. Hace jugar al equipo, piensa en tiempo antes las jugadas que el resto.;;;;;;;;;;;;;;;;;
70;21;1;3;16/8/2023;317;Titular;3;2.5;Gran partido de Matias, pero empañado por un penal totalmente inevitable, que ademAs le sacan amarilla y lo dejan fuera de superclasico;;;;;;;;;;;;;;;;;
71;21;1;3;16/8/2023;318;Titular;3;3.5;Correcto partido dede lo futbolistico, pero que ademAs mostrO todo su liderazgo evitando que el equipo decayera animicamente;;;;;;;;;;;;;;;;;
72;21;1;3;16/8/2023;300;Suplente ingresa;4;2.5;CorriO mucho, pero tuvo algunos errores graves, probablmente por jugar a pie cambiado.;;;;;;;;;;;;;;;;;
73;21;1;3;16/8/2023;314;Suplente ingresa;13;2.5;IntentO progresar, pero perdiO generalmente los duelos;;;;;;;;;;;;;;;;;
74;21;1;3;16/8/2023;277;Suplente ingresa;14;4;Gran ingreso. DemostrO mucha personalidad, intentando encarar y buscar espacios.;;;;;;;;;;;;;;;;;
75;21;1;3;16/8/2023;321;Suplente ingresa;13;;Muy poco tiempo para evaluar;;;;;;;;;;;;;;;;;
76;21;1;2;17/8/2023;299;Titular;1;2.5;Tuvo muy pocas acciones en las que le llegaron al arco. El penal adivinO pero fue muy bie ejecutado.;;;;;;;;;;;;;;;;;
77;21;1;2;17/8/2023;303;Titular;5;3.5;Muy bue partido, con sus desplazamientos e intensidad sostuvo la mitad de la cancha. Bien defensivamente.;;;;;;;;;;;;;;;;;
78;21;1;2;17/8/2023;304;Titular;6;2.5;LlegO a finalizar un par de jugadas al Area desde centros del lado contrario. No tuvo desborde ni profundidad por su lado.;;;;;;;;;;;;;;;;;
79;21;1;2;17/8/2023;307;Titular;13;3;Siempre estuvo luchando arriba, intetando generar ocasiones de gol. Le anulan un gol que iba dentro y participa otro jugador en offside.;;;;;;;;;;;;;;;;;
80;21;1;2;17/8/2023;305;Titular;10;2;Tuvo un par de buenos giros entre lIneas, sin embargo muy errAtico, no llegO nunca dentro del Area, bajo en intensidad defensivamente.;;;;;;;;;;;;;;;;;
81;21;1;2;17/8/2023;309;Titular;13;4;Se mostrO muy activo durante todo el partido, tuvo personalidad para sacar el partido adelante y terminO con el gol que empatO el partido.;;;;;;;;;;;;;;;;;
82;21;1;2;17/8/2023;311;Titular;7;3;Correcto partido sobre todo considerando que era su primer partido de titular.;;;;;;;;;;;;;;;;;
83;21;1;2;17/8/2023;313;Titular;3;3;Bien en los duelos aEreos, le ganO un par TobIas pero en general estuvo muy bien.;;;;;;;;;;;;;;;;;
84;21;1;2;17/8/2023;316;Titular;14;4;Uno de los mejores del partido, jugO, pidiO el balOn, tuvo mucha energIa para llegar dentro del Area. Defensivamente sOlido. Un partido muy completo;;;;;;;;;;;;;;;;;
85;21;1;2;17/8/2023;317;Titular;3;3.5;Fue el mejor defensivamente, tuvo muchas situaciones en balones detenidos ofensivos. Lamentablemente le baja la nota el penal evitable que cometiO.;;;;;;;;;;;;;;;;;
86;21;1;2;17/8/2023;318;Titular;3;2.5;No fue muy fundamental en el partido, se tira mucho para atrAs cuando el rival tiene el balOn y hacIa el equipo largo.;;;;;;;;;;;;;;;;;
87;21;1;2;17/8/2023;300;Suplente ingresa;4;2.5;Correcto partido. ComenzO un poco con dudas pero luego cumpliO con su rol en los minutos que disputO.;;;;;;;;;;;;;;;;;
88;21;1;2;17/8/2023;314;Suplente ingresa;13;2.5;Se le vio que entrO con ganas, pedIa el balOn e intentO encarar a los defensas cuando tenIa posibiilidad.;;;;;;;;;;;;;;;;;
89;21;1;2;17/8/2023;277;Suplente ingresa;14;3.5;Muy buen ingreso, en los minutos que jugO se notO su presencia, participO bastante del ataque, le dio un segundo aire al equipo.;;;;;;;;;;;;;;;;;
90;21;1;2;17/8/2023;321;Suplente ingresa;13;;Muy pocos minutos para ser evaluado.;;;;;;;;;;;;;;;;;
91;22;1;1;25/8/2023;301;Titular;3;3;Gano bastante duelo aEreo, con balOn se mostrO simple y seguro, a pesar de que perdiO algunos balones en la salida. En los duelos se mostrO firme.;;;;;;;;;;;;;;;;;
92;22;1;1;25/8/2023;307;Titular;13;2.5;Bastante movilidad, propuso duelos pero sin ganar ni generar ventajas en ataque. Las ocasiones que tuvo de frente, se apurO en terminarlas.;;;;;;;;;;;;;;;;;
93;22;1;1;25/8/2023;305;Titular;10;2.5;Chispazos de desequilibro individual, pero muy dEbil en los duelos ofensivos. Necesita mAs consistencia en el juego.;;;;;;;;;;;;;;;;;
94;22;1;1;25/8/2023;309;Titular;14;2.5;Apariciones intermitentes pero de calidad. Aún le falta usar mejor su cuerpo. Buen pase gol.;;;;;;;;;;;;;;;;;
95;22;1;1;25/8/2023;310;Titular;1;4;A pesar de los goles que le realizaron, muy buenas intervenciones, se le vio comunicativo y seguro con el balOn en los pies.;;;;;;;;;;;;;;;;;
96;22;1;1;25/8/2023;280;Titular;7;2;Bajo rendimiento, intrascendente en sus desbordes, mal parado en defensa.;;;;;;;;;;;;;;;;;
97;22;1;1;25/8/2023;313;Titular;3;1.5;Se complicO bastante con el delantero rival, impreciso con balOn y mal parado en algunos balones largos del rival;;;;;;;;;;;;;;;;;
98;22;1;1;25/8/2023;315;Titular;6;2.8;Partido correcto desde el punto de vista defensivo, con balOn muy simple, pero el segundo tiempo comenzO a lanzar demasiado.;;;;;;;;;;;;;;;;;
99;22;1;1;25/8/2023;318;Titular;5;3;Correcto con balOn en los pies, generando circulaciOn y buenos cambios de orientaciOn. Algo desprotegido en el retroceso.;;;;;;;;;;;;;;;;;
100;22;1;1;25/8/2023;320;Titular;14;1.5;Malos controles, malos perfiles para recibir entre lineas, abusa de la conducciOn y pierde balones sencillos.;;;;;;;;;;;;;;;;;
101;22;1;1;25/8/2023;275;Titular;5;3;Antes del cambio de esquema, se mostrO activo, buena participaciOn en ataque y defensiva, cortando transiciones rivales.;;;;;;;;;;;;;;;;;
102;22;1;1;25/8/2023;311;Suplente ingresa;4;2.8;Un poco contenido con la linea de 4, no logrO generar desbordes por su lado a pesar de ser simple y sin errar.;;;;;;;;;;;;;;;;;
103;22;1;1;25/8/2023;314;Suplente ingresa;13;2;Poco participativo, le costO aguantar balones de espaldas y no generO ventajas de ninguna forma.;;;;;;;;;;;;;;;;;
104;22;1;1;25/8/2023;278;Suplente ingresa;11;3;LogrO generar un par de duelos que ganO bien, pero le falta usar su pierna derecha , demasiado zurdo. DEbil fIsicamente.;;;;;;;;;;;;;;;;;
105;22;1;1;25/8/2023;277;Suplente ingresa;14;3.5;Con su ingreso comenzO a darle continuidad al juego, buenos cambios de frente, calma para sostener el balOn y encarar cuando pudo.;;;;;;;;;;;;;;;;;
106;22;1;1;25/8/2023;321;Suplente ingresa;13;;Muy poco tiempo para ser evaluado;;;;;;;;;;;;;;;;;
107;22;1;2;30/8/2023;301;Titular;3;2.5;Correcto partido, sin destacar y ser fundamental pero tampoco con errores gravitantes.;;;;;;;;;;;;;;;;;
108;22;1;2;30/8/2023;307;Titular;13;3;El mejor jugador en ofensiva, siempre intentO, rematO mucho al arco y convirtiO el descuento.;;;;;;;;;;;;;;;;;
109;22;1;2;30/8/2023;305;Titular;10;2.5;No fue determinante pero se mostrO activo en el medio campo. IntentO girar y encarar en el centro, metiO un par de pases filtrados.;;;;;;;;;;;;;;;;;
110;22;1;2;30/8/2023;309;Titular;14;2.5;Partido irregular, no fue determinante pero estuvo en el pase gol a Leandro.;;;;;;;;;;;;;;;;;
111;22;1;2;30/8/2023;310;Titular;1;3.5;Tuvo dos tapadas muy difIciles que podrIan haber terminado en gol.;;;;;;;;;;;;;;;;;
112;22;1;2;30/8/2023;280;Titular;7;1.5;Muy bajo rendimiento. VenIa de un dolor en el talOn y no logrO sobreponerse a su lesiOn.;;;;;;;;;;;;;;;;;
113;22;1;2;30/8/2023;313;Titular;3;1;Muy mal en defensiva, perdiO muchos duelos, se ganO una amarilla. Flojo en todas sus acciones.;;;;;;;;;;;;;;;;;
114;22;1;2;30/8/2023;315;Titular;6;2;SacO bastantes centros al Area que no terminaron de ser precisos. Tuvo responsabilidad en el segundo gol.;;;;;;;;;;;;;;;;;
115;22;1;2;30/8/2023;318;Titular;5;2.5;Se vio que dejO todo en la cancha. No fue un gran partido de El pero de los puntos mAs altos.;;;;;;;;;;;;;;;;;
116;22;1;2;30/8/2023;320;Titular;14;2;Fue intenso en ataque y defensa pero perdiO muchos balones. No tuvo claridad con el balOn en los pies.;;;;;;;;;;;;;;;;;
117;22;1;2;30/8/2023;275;Titular;5;2;Estuvo muy perdido en el medio. No logrO adaptarse al rival y tuvo que ser sustituido en el entre tiempo para acomodar el equipo.;;;;;;;;;;;;;;;;;
118;22;1;2;30/8/2023;311;Suplente ingresa;4;2;Sin desentonar, tampoco se observO un gran cambio con su ingreso.;;;;;;;;;;;;;;;;;
119;22;1;2;30/8/2023;314;Suplente ingresa;13;2;EntrO e hizo lo que pudo. No tuvo muchas acciones para hacer mAs.;;;;;;;;;;;;;;;;;
120;22;1;2;30/8/2023;278;Suplente ingresa;11;2;EntrO con mucha energIa e intentO desequilibrar por fuera pero no estuvo fino al finalizar las jugadas.;;;;;;;;;;;;;;;;;
121;22;1;2;30/8/2023;277;Suplente ingresa;14;2.5;Se notO su ingreso, recibiO mucho entre lIneas y tuvo un par de remates de fuera del Area.;;;;;;;;;;;;;;;;;
122;22;1;2;30/8/2023;321;Suplente ingresa;13;;JugO muy poco para ser evaluado.;;;;;;;;;;;;;;;;;
123;22;1;3;31/8/2023;301;Titular;3;2.8;Ingrato partido por la derrota y ademAs no venIa jugando hace rato. No lo hizo mal, pero tampoco dio unna seguridad certera por su lado;;;;;;;;;;;;;;;;;
124;22;1;3;31/8/2023;307;Titular;13;3.5;El jugador mas peligroso de nuestro equipo. Muchas perdidas y errores, pero es vital para intentar por distinta vias, lo que coronO con un gol donde tuvo calidad para definir;;;;;;;;;;;;;;;;;
125;22;1;3;31/8/2023;305;Titular;10;2.5;Sin ser un mal partido, no pude demostrar su nivel, nunca encontrO esspacios, solo pudo encarar un par de veces;;;;;;;;;;;;;;;;;
126;22;1;3;31/8/2023;309;Titular;14;3;Batsantes perdidas de pelota, pero al agarrarla algo podia pasar. rematO un par de veces, lo intentO por alguna vias. AsistiO de gran manera a Leandro. No estuvo preciso en corners.;;;;;;;;;;;;;;;;;
127;22;1;3;31/8/2023;310;Titular;1;3.5;A pesar de encajar dos goles, tuvo un gran partido, en un dia dificil para el por venir sin contuinuidad. Tuvo buenas tapadas;;;;;;;;;;;;;;;;;
128;22;1;3;31/8/2023;280;Titular;7;2;Bajo partido, se ve que la fascitis plantar le afectO, y tiene sentido al ser cancha sintetica;;;;;;;;;;;;;;;;;
129;22;1;3;31/8/2023;313;Titular;3;1.5;Muy bajo partido lo que se vio reflejado en el segundo gol donde no marcO a nadie en el area. Se le vio siempre a destiempo.;;;;;;;;;;;;;;;;;
130;22;1;3;31/8/2023;315;Titular;6;2.5;partido regular, pero que no pudo sser certero en centros a pesar de tener muchas posibilidades;;;;;;;;;;;;;;;;;
131;22;1;3;31/8/2023;318;Titular;5;3;Sin ser un buen partido, donde se vio muchass veces lento y fuera de lugar, se le evalua con un 3 por un premio a su compromiso con el equipp-;;;;;;;;;;;;;;;;;
132;22;1;3;31/8/2023;320;Titular;14;2;Mal partido. No pensO bien las jugadas, chocO mucho.;;;;;;;;;;;;;;;;;
133;22;1;3;31/8/2023;275;Titular;5;2.5;Ingrato partido, no lo hizo mal, pero no logrO ser esa salida que el equipo necesitaba. AdemAs hizo un par de fouls de mas;;;;;;;;;;;;;;;;;
134;22;1;3;31/8/2023;311;Suplente ingresa;4;2.5;Dificil evaluarlo, cumpliO a medias.;;;;;;;;;;;;;;;;;
135;22;1;3;31/8/2023;314;Suplente ingresa;13;2.5;EntrO con ganas, pero no generO peligro;;;;;;;;;;;;;;;;;
136;22;1;3;31/8/2023;278;Suplente ingresa;11;3;Buena entrada despuEs de un tiempo sin jugar. GenerO peligro;;;;;;;;;;;;;;;;;
137;22;1;3;31/8/2023;277;Suplente ingresa;14;3.5;Muchas ganas tanto con y sin pelota. Recupera el balOn en la jugada del gol;;;;;;;;;;;;;;;;;
138;22;1;3;31/8/2023;321;Suplente ingresa;13;;Muy poo para ser evaluado;;;;;;;;;;;;;;;;;
139;23;1;3;4/9/2023;301;Titular;3;3.5;Gran partido revindicador de un jugador que venIa cuestionado. GanO todo por arriba, con gol incluido, fiuerte e los mano a mano. En el gol del rival pudo frenarse antes y evitart el centro. Tuvo tambiEn algunas salidas que pudo hacerlas mas rapido.  Gran partido de Nacho.;;;;;;;;;;;;;;;;;
140;23;1;3;4/9/2023;303;Titular;5;3;Gran partido desde lo defensivo, sobre todo el segundo tiempo. Buenas coberturas, bien en duelos. Le sigue faltando mejorar con la pelota, sobre todo en la rapidez de la toma de decisiones;;;;;;;;;;;;;;;;;
141;23;1;3;4/9/2023;307;Titular;13;3;Es dificil criticar a Leandro, por que lo intenta por todos lados. Gran corner para el gol, pero el resto de los corners mal pateados. Muchas veces se apurO en terminar la jugada.;;;;;;;;;;;;;;;;;
142;23;1;3;4/9/2023;310;Titular;1;4;Excelente partido. En el gol , nada que hacer. DespuEs tuvo tapadas importantes y estuvo atento a la espalda de los centrales.;;;;;;;;;;;;;;;;;
143;23;1;3;4/9/2023;280;Titular;4;2.5;Tuvo jugadas de mucha calidad por su banda, pero empaña todo con una patada que debiO habersido ido expulsado;;;;;;;;;;;;;;;;;
144;23;1;3;4/9/2023;312;Titular;13;3;Buen partido, aguantando y apoyandose, rematando cuando pudo. Tuvo un muy buen remate que pasO cerca, y otro control de pecho en el Area que pudo hacer mas. Necesita ser mas decisivo en el marcado, con goles o asistecias.;;;;;;;;;;;;;;;;;
145;23;1;3;4/9/2023;313;Titular;3;2.5;Le costO contra Benegas yendo a al espacio y por arriba, y tambiEn vs Palacios sobre todo e primer tiempo cuando la agarraba por izq.;;;;;;;;;;;;;;;;;
146;23;1;3;4/9/2023;315;Titular;2;2.5;se le vio nervioso y no pudo proyectarse.;;;;;;;;;;;;;;;;;
